trigger_code,cluster_code,primary_therapy_area,subtopic_title,doctor_trigger_label,navigation_pathways,trigger_search_keywords
CC_CELIAC_GFD,CHRONIC_CONDITION,Stomach & digestion,Celiac disease – lifelong gluten-free diet and growth,Celiac disease – gluten-free life,"Stomach & digestion|Feeding, nutrition & growth|Chronic conditions",celiac disease|coeliac|wheat allergy confusion|gluten free diet|atta stopped|dal rice|label reading|growth and anaemia
CC_CHD_STABLE,CHRONIC_CONDITION,Chronic conditions,"Congenital heart disease – activity, follow-up and dental care",Heart disease – activity & follow-up,Chronic conditions|Teen & adolescent health|Safety & first aid,congenital heart disease|hole in heart|post surgery|activity restriction|sports|endocarditis prophylaxis|dental care|follow-up echo
CC_CHRONIC_GROWTH_NUTRITION,CHRONIC_CONDITION,"Feeding, nutrition & growth","Child with chronic illness – growth, nutrition and regular follow-up",Chronic illness – growth & nutrition monitoring,"Feeding, nutrition & growth|Chronic conditions",chronic illness|growth chart|weight and height|nutritional support|high energy diet|follow-up visits|long term disease
CC_CKD_BP,CHRONIC_CONDITION,Chronic conditions,"High blood pressure / chronic kidney disease – salt, medicines and monitoring",Child BP / kidney disease – BP & lifestyle,"Chronic conditions|Feeding, nutrition & growth|Teen & adolescent health",high blood pressure child|hypertension|chronic kidney disease|CKD|BP monitoring at home|salt restriction|fluid limit|kidney protection
CC_EPILEPSY_LONG_TERM,CHRONIC_CONDITION,Chronic conditions,Childhood epilepsy – long-term seizure medicines and lifestyle,Epilepsy – daily medicines & lifestyle,Chronic conditions|Safety & first aid|Teen & adolescent health,epilepsy|fits|seizures|daura|antiepileptic medicine|AED|regular dosing|missed dose|sleep|triggers|school restrictions
CC_IBD_CHRONIC,CHRONIC_CONDITION,Stomach & digestion,"Inflammatory bowel disease – long-term medicines, diet and growth",IBD – long-term care & growth,"Stomach & digestion|Chronic conditions|Feeding, nutrition & growth",inflammatory bowel disease|IBD|ulcerative colitis|Crohn disease|steroid sparing|maintenance medicines|stool pattern|growth monitoring
CC_JIA_ARTHRITIS,CHRONIC_CONDITION,Chronic conditions,"Juvenile arthritis – medicines, physiotherapy and daily activity",Juvenile arthritis – meds & movement,Chronic conditions|Child development & behaviour|Teen & adolescent health,juvenile idiopathic arthritis|JIA|joint swelling|morning stiffness|NSAIDs|DMARDs|biologics|physiotherapy|school and sports
CC_NEPHROTIC_STEROIDS,CHRONIC_CONDITION,Chronic conditions,"Nephrotic syndrome – steroid course, urine checks and relapse signs",Nephrotic syndrome – steroids & relapse monitoring,Chronic conditions|Medicine use & antibiotics|Safety & first aid,nephrotic syndrome|swelling around eyes|puffy face|protein in urine|steroid tablets|prednisolone course|urine dipstick|relapse signs|infection risk steroids
CC_SICKLE_DAILY,CHRONIC_CONDITION,Chronic conditions,Sickle cell disease – daily care and preventing pain crises,Sickle cell – daily care & crisis prevention,Chronic conditions|Safety & first aid|Teen & adolescent health,sickle cell disease|pain crisis|vaso occlusive crisis|fever with sickle|hydration|folic acid|avoid extreme cold|when to rush to hospital
CC_THALASSEMIA_TRANSFUSION,CHRONIC_CONDITION,Chronic conditions,"Thalassemia major – regular transfusions, chelation and growth",Thalassemia – transfusions & chelation,"Chronic conditions|Feeding, nutrition & growth|Teen & adolescent health",thalassemia major|regular blood transfusion|low haemoglobin|chelation|iron overload|ferritin|growth and puberty|infection risk transfusion
CC_TYPE1_DIABETES_DAILY,CHRONIC_CONDITION,Chronic conditions,"Type 1 diabetes – insulin injections, food and sugar checks every day",Type 1 diabetes – daily insulin & sugar checks,"Chronic conditions|Feeding, nutrition & growth|Teen & adolescent health",type 1 diabetes|insulin injection|insulin pen|blood sugar monitoring|glucometer|carb counting|hypoglycaemia|hyperglycaemia|school routine
CC_TYPE1_DIABETES_SICK_DAY,CHRONIC_CONDITION,Chronic conditions,Type 1 diabetes – sick day rules when your child is ill,Type 1 diabetes – sick day rules,"Chronic conditions|Feeding, nutrition & growth|Teen & adolescent health",diabetes sick day|vomiting|fever|ketones|extra checks|when to reduce dose|when to go to hospital
DRG_ABX_SHORT_COURSE,DRUG_OR_DEVICE,Medicine use & antibiotics,"Antibiotic course for infection – dose, duration and safe use",Antibiotic course – how to use safely,Medicine use & antibiotics|Fever & common infections|Breathing & chest problems|Stomach & digestion,antibiotic|antibiotic course|infection medicine|syrup antibiotic|tablet antibiotic|complete course|stop early|leftover antibiotic|sharing antibiotics|antibiotic resistance
DRG_ANTIPYRETIC_SAFE,DRUG_OR_DEVICE,Fever & common infections,Fever medicines (paracetamol / ibuprofen) – safe dosing and overdose risks,Fever medicine dose – paracetamol / ibuprofen,Fever & common infections|Medicine use & antibiotics,paracetamol|PCM|crocin|calpol|ibuprofen|brufen|fever medicine|dose by weight|dosing interval|overdose|multiple brands same drug
DRG_COUGH_ALLERGY_SYRUP,DRUG_OR_DEVICE,Breathing & chest problems,Cough and allergy syrups – when they help and when they are risky,Cough & allergy syrups – what parents should know,Breathing & chest problems|Medicine use & antibiotics|Fever & common infections,cough syrup|cold syrup|allergy syrup|cetirizine|combination syrups|sedation|drowsiness|under 2 years not safe|OTC medicines|self medication
DRG_INHALER_DEVICE,DRUG_OR_DEVICE,Breathing & chest problems,"Inhaler and spacer – correct technique, cleaning and storage",Inhaler + spacer – technique & care,Breathing & chest problems|Chronic conditions|Medicine use & antibiotics,inhaler device|pump inhaler|puff|spacer|mask spacer|technique|cleaning|storage|mouth rinse|common mistakes
DRG_INSULIN_TECHNIQUE,DRUG_OR_DEVICE,Chronic conditions,"Insulin pens – injection technique, rotation of sites and storage",Insulin pen – technique & storage,"Chronic conditions|Feeding, nutrition & growth|Teen & adolescent health|Medicine use & antibiotics",insulin pen|injection technique|site rotation|abdomen injection|thigh injection|fridge storage|do not freeze|discard after 28 days
DRG_IRON_SUPPLEMENT,DRUG_OR_DEVICE,"Feeding, nutrition & growth",Iron drops / syrups – correct way to give and manage side effects,Iron medicine – how to give,"Feeding, nutrition & growth|Stomach & digestion|Medicine use & antibiotics",iron drops|iron syrup|anemia|HB low|metallic taste|black stool|constipation from iron|give with juice|avoid milk near dose
DRG_LAXATIVE_CONSTIPATION,DRUG_OR_DEVICE,Stomach & digestion,Laxative medicines for constipation – safe regular use and how to taper,Laxatives for constipation – safe use,"Stomach & digestion|Feeding, nutrition & growth|Child development & behaviour|Medicine use & antibiotics",constipation medicine|laxative|stool softener|PEG|polyethylene glycol|lactulose|is it habit forming|daily use|toilet training|tapering laxative
DRG_NEBULISER_HOME,DRUG_OR_DEVICE,Breathing & chest problems,"Nebuliser use at home – preparation, dosing and cleaning",Home nebuliser – use & cleaning,Breathing & chest problems|Chronic conditions|Medicine use & antibiotics|Safety & first aid,nebuliser machine|neb solution|salbutamol neb|budesonide neb|nebuliser mask|dose measuring|cleaning nebuliser|infection risk|electric nebuliser
DRG_ORAL_STEROIDS_SHORT,DRUG_OR_DEVICE,Chronic conditions,"Short course steroid tablets (prednisolone etc.) – uses, side effects and tapering",Steroid tablets – short course & taper,Chronic conditions|Medicine use & antibiotics|Breathing & chest problems,steroid tablets|prednisolone|wysolone|omni cortil|short steroid course|side effects|mood changes|increased appetite|tapering|do not stop suddenly
DRG_ORS_ZINC_GENERIC,DRUG_OR_DEVICE,Stomach & digestion,ORS and zinc – how to prepare and give correctly in loose motions,ORS & zinc – how to give,Stomach & digestion|Fever & common infections|Medicine use & antibiotics,ORS|oral rehydration solution|zinc syrup|loose motions|diarrhea|mixing ORS powder|correct volume of water|small sips|ORS mistakes
DRG_TOPICAL_STEROID_CREAM,DRUG_OR_DEVICE,Skin & allergy,Steroid and antifungal skin creams – correct use and dangers of combination creams,Skin creams – steroid / antifungal combination use,Skin & allergy|Medicine use & antibiotics|Chronic conditions,steroid cream|clobetasol|betamethasone|antifungal cream|clotrimazole|combination cream|fairness cream|ringworm worsening|OTC misuse
DRG_VITD_CALCIUM_MULTI,DRUG_OR_DEVICE,"Feeding, nutrition & growth","Vitamin D, calcium and multivitamin syrups – correct use and avoiding overdose",Vitamin D / calcium / multivitamins – safe use,"Feeding, nutrition & growth|Medicine use & antibiotics",vitamin D|calcium|multivitamin|health tonic|appetite stimulant|OTC vitamins|dose limits|rickets|bone health|vitamin overdose
PV_DEV_MENTAL_WELLBEING,PREVENTIVE_CARE,Teen & adolescent health,"Stress, exams and mood – early signs of emotional problems",Exam stress & mood – early help,Teen & adolescent health|Child development & behaviour,exam stress|anxiety|low mood|irritability|sleep change|loss of interest|talk to child|when to seek counselling
PV_DEV_PUBERTY,PREVENTIVE_CARE,Teen & adolescent health,Puberty and periods – body changes and menstrual hygiene,Puberty & periods – teen education,Teen & adolescent health|Child development & behaviour,puberty|breast development|voice change|hair growth|menstruation|periods|sanitary pads|period myths
PV_DEV_SCREEN,PREVENTIVE_CARE,Child development & behaviour,"Screen time rules for healthy eyes, sleep, behaviour and weight",Screen time – healthy rules,"Child development & behaviour|Teen & adolescent health|Feeding, nutrition & growth",mobile phone use|TV cartoon|tablet|screen addiction|screen and sleep|screen and obesity|family screen rules
PV_DEV_SLEEP,PREVENTIVE_CARE,Child development & behaviour,Sleep in children – how much they need and bedtime routine,Sleep routine – age-wise guidance,Child development & behaviour|Newborn & infant care|Teen & adolescent health,sleep hours child|bedtime routine|late sleeping|co sleeping|night waking|screens before bed
PV_DEV_TOILET,PREVENTIVE_CARE,Child development & behaviour,Toilet training – signs of readiness and gentle training,Toilet training – when & how,Child development & behaviour|Stomach & digestion,potty training|toilet training readiness|no forcing|reward chart|accidents normal|night dryness|bedwetting later
PV_GROWTH_WELLCHILD,PREVENTIVE_CARE,"Feeding, nutrition & growth",Growth monitoring in healthy children – understanding the growth chart,Growth chart – well-child check,"Feeding, nutrition & growth|Child development & behaviour",growth chart|weight and height curve|percentiles|healthy growth|short but healthy|tall and thin child|when to worry
PV_NUTR_BF_EXCL,PREVENTIVE_CARE,"Feeding, nutrition & growth",Exclusive breastfeeding for 6 months – what it means and why it matters,Exclusive breastfeeding 0–6 months,"Feeding, nutrition & growth|Newborn & infant care|Stomach & digestion",exclusive breastfeeding|only breast milk|no water|no honey|colostrum|low milk myth|family pressure for top feed
PV_NUTR_COMPLEMENTARY,PREVENTIVE_CARE,"Feeding, nutrition & growth","Starting solid foods at 6 months – what, when and how",Starting solids at 6 months,"Feeding, nutrition & growth|Stomach & digestion|Child development & behaviour",weaning|complementary feeding|semi solid food|khichdi|dal rice|mashed fruit|texture progression|choking risk|feeding timetable
PV_NUTR_IRON_DIET,PREVENTIVE_CARE,"Feeding, nutrition & growth",Iron-rich foods for children – preventing anemia with daily diet,Iron-rich diet – preventing anemia,"Feeding, nutrition & growth|Stomach & digestion",anemia prevention|iron rich foods|green leafy vegetables|jaggery|ragi|meat and eggs|vitamin C to absorb iron
PV_NUTR_OVERWEIGHT_PREVENT,PREVENTIVE_CARE,"Feeding, nutrition & growth","Preventing overweight – food, movement and screen time",Preventing overweight – lifestyle basics,"Feeding, nutrition & growth|Teen & adolescent health|Child development & behaviour",overweight child|obesity risk|junk food|soft drinks|screen time|outdoor play|family lifestyle|fat but healthy myth
PV_NUTR_PICKY,PREVENTIVE_CARE,"Feeding, nutrition & growth",Picky eating – mealtime rules and avoiding force-feeding or screens,Picky eater – mealtime rules,"Feeding, nutrition & growth|Child development & behaviour",picky eating|fussy eater|does not eat vegetables|running after child with plate|screen while eating|force feeding|family mealtime rules
PV_VACC_12_18,PREVENTIVE_CARE,Vaccines & injections,"12–18 month vaccines – boosters, PCV, chickenpox and hepatitis A",12–18 month vaccines – boosters & new vaccines,"Vaccines & injections|Fever & common infections|Feeding, nutrition & growth",12 month booster|15 month vaccine|18 month DTP|PCV booster|varicella|chickenpox vaccine|hepatitis A vaccine
PV_VACC_6_10_14,PREVENTIVE_CARE,Vaccines & injections,"6, 10 and 14 week vaccines – what they are and why so many",6–10–14 week vaccines – today's protection,Vaccines & injections|Newborn & infant care|Fever & common infections,6 week vaccine|10 week vaccine|14 week vaccine|DTP|pentavalent|hexavalent|IPV|Hib|rotavirus|PCV|many injections same visit
PV_VACC_9_12,PREVENTIVE_CARE,Vaccines & injections,"9–12 month vaccines – measles, MMR and typhoid",9–12 month vaccines – MMR / typhoid,"Vaccines & injections|Fever & common infections|Feeding, nutrition & growth",9 month vaccine|12 month vaccine|measles|MMR|rubella|mumps|typhoid conjugate vaccine|street food|unsafe water
PV_VACC_BIRTH,PREVENTIVE_CARE,Vaccines & injections,"Newborn's first vaccines – BCG, hepatitis B and polio at birth","Birth vaccines – BCG, Hep B, polio",Vaccines & injections|Newborn & infant care|Fever & common infections,birth vaccines|BCG|hepatitis B birth dose|polio drops|OPV at birth|hospital injection|why so early|vaccine card first entry
PV_VACC_CATCHUP,PREVENTIVE_CARE,Vaccines & injections,Catch-up vaccines – what to do when doses were missed,Catch-up vaccination – missed doses,Vaccines & injections|Fever & common infections,missed vaccines|delayed vaccination|catch-up schedule|do not restart series|fill gaps|vaccine card check
PV_VACC_MILD_ILL,PREVENTIVE_CARE,Vaccines & injections,Vaccines when child has mild cold or low-grade fever – when it is OK and when to postpone,Mild illness – can we vaccinate today?,Vaccines & injections|Fever & common infections|Newborn & infant care,vaccines with cold|mild fever and vaccine|sardi mein teeka|when to postpone|doctor will decide fit for vaccination
PV_VACC_MYTHS,PREVENTIVE_CARE,Vaccines & injections,Vaccine myths from family and social media – simple facts for parents,Vaccine myths & truths,Vaccines & injections|Fever & common infections|Teen & adolescent health,vaccine rumours|WhatsApp messages|infertility myth|too many vaccines|overloading immunity|new vaccines fear|religious concerns
PV_VACC_SCHOOL_ENTRY,PREVENTIVE_CARE,Vaccines & injections,4–6 year school entry boosters – keeping protection up,School entry boosters – 4–6 years,Vaccines & injections|Child development & behaviour|Teen & adolescent health,school entry booster|4 year DTP|IPV booster|MMR second dose|chickenpox second dose|school admission vaccines
PV_VACC_TEEN,PREVENTIVE_CARE,Vaccines & injections,"Teen vaccines – HPV, tetanus booster and others",Teen vaccines – HPV & boosters,Vaccines & injections|Teen & adolescent health|Fever & common infections,adolescent vaccines|HPV vaccine|cervical cancer prevention|boys HPV|Tdap booster|Td booster|hostel vaccines
SM_COUGH_CHRONIC_MONITOR,SUSPECTED_MONITORING,Breathing & chest problems,Cough for more than 3 weeks – diary and stepwise evaluation,Chronic cough – cough diary & work-up plan,Breathing & chest problems|Chronic conditions|Fever & common infections,chronic cough|cough more than 3 weeks|night cough|cough diary|post infection cough|asthma vs TB|chest x ray|when to investigate
SM_EVENTS_SUSPECT_SEIZURE,SUSPECTED_MONITORING,Chronic conditions,"Strange episodes – suspected seizure versus other causes, event diary and phone video",Suspected seizures – record episodes & first aid,Chronic conditions|Child development & behaviour|Safety & first aid,suspicious episodes|blackout|staring spells|jerks in sleep|suspected seizure|mobile video recording|event diary|neurology consult
SM_FEVER_NO_FOCUS_WATCH,SUSPECTED_MONITORING,Fever & common infections,Fever without clear focus in first 24–48 hours – watchful waiting at home,Early fever – watchful waiting & home care,Fever & common infections|Safety & first aid,fever no focus|viral vs bacterial|early fever|watchful waiting|no tests yet|home monitoring|thermometer|bukhar
SM_FEVER_PERSIST_NO_FOCUS,SUSPECTED_MONITORING,Fever & common infections,Fever for 3–5 days without clear source – when tests are needed,Persistent fever – when to do tests,Fever & common infections|Medicine use & antibiotics,fever 3 days|fever not settling|prolonged fever|no obvious source|when to test|CBC|CRP|malaria test|typhoid test|follow-up visit
SM_HEADACHE_RECUR_DIARY,SUSPECTED_MONITORING,Child development & behaviour,Recurrent headaches or migraine – headache diary and danger signs,Recurrent headaches – diary & red flags,Child development & behaviour|Teen & adolescent health|Safety & first aid,recurrent headache|migraine|headache diary|screen time and headache|eye strain|red flag headache|vomiting with headache|early morning headache
SM_NEWBORN_JAUNDICE_BORDERLINE,SUSPECTED_MONITORING,Newborn & infant care,Borderline newborn jaundice at home – colour monitoring and follow-up tests,Borderline newborn jaundice – home monitoring,Newborn & infant care|Fever & common infections|Safety & first aid,newborn jaundice borderline|mild yellow baby|physiologic jaundice|home monitoring|follow-up bilirubin|when to repeat test|when to admit
SM_OVERWEIGHT_OBESITY_RISK,SUSPECTED_MONITORING,"Feeding, nutrition & growth",Overweight child – lifestyle diary and risk monitoring,Overweight child – lifestyle & screen / food diary,"Feeding, nutrition & growth|Teen & adolescent health|Child development & behaviour",overweight child|obesity risk|BMI high|junk food diary|screen time diary|activity diary|future diabetes risk
SM_POOR_WEIGHT_GAIN_MON,SUSPECTED_MONITORING,"Feeding, nutrition & growth",Poor weight gain – diet diary and growth chart follow-up,Poor weight gain – diet diary & follow-up,"Feeding, nutrition & growth|Stomach & digestion|Chronic conditions",failure to thrive|underweight child|weight not increasing|diet diary|growth chart|calorie gap|follow-up weighing
SM_REC_ABD_PAIN_DIARY,SUSPECTED_MONITORING,Stomach & digestion,Recurrent stomach pain with normal initial exam – pain diary and constipation check,Recurrent stomach pain – diary & red flags,Stomach & digestion|Child development & behaviour,recurrent abdominal pain|school time pain|stress and stomach|pain diary|constipation link|normal tests|red flag abdominal pain
SM_SUSPECT_ALLERGIC_RHINITIS_TRIAL,SUSPECTED_MONITORING,Breathing & chest problems,Suspected allergic nose (allergic rhinitis) – trial of nasal spray and trigger control,Suspected allergic nose – trial nasal spray,Breathing & chest problems|Skin & allergy|Chronic conditions,sneezing child|runny nose|itchy nose|allergic rhinitis|nasal spray trial|dust allergy|trigger control|when to review
SM_SUSPECT_ASTHMA_TRIAL_THERAPY,SUSPECTED_MONITORING,Breathing & chest problems,Suspected asthma – trial of inhaler and symptom chart,Suspected asthma – trial of inhaler,Breathing & chest problems|Chronic conditions|Medicine use & antibiotics,suspected asthma|recurrent wheeze|noisy breathing|night cough|trial inhaler|4 week trial|symptom chart|follow-up asthma
SM_SUSPECT_AUTISM_SPEECH_DELAY,SUSPECTED_MONITORING,Child development & behaviour,Concern about speech or social development – early signs to watch,Speech / social delay – early signs to watch,Child development & behaviour|Newborn & infant care,late talking|no words|no eye contact|does not respond to name|speech delay|autism signs|social smile|development monitoring
SM_SUSPECT_BEHAV_ADHD_SCHOOL,SUSPECTED_MONITORING,Child development & behaviour,"Behaviour and school performance – possible ADHD or learning issue, monitoring at home and school",Behaviour & school – observation & reports,Child development & behaviour|Teen & adolescent health,behaviour problem|hyperactivity|cannot sit still|poor school performance|teacher complaints|ADHD suspicion|learning difficulty|school report|rating scales
SM_SUSPECT_DENGUE_EARLY,SUSPECTED_MONITORING,Fever & common infections,"Early fever with body ache – suspected dengue, monitoring and first tests",Suspected dengue – monitor & timing of tests,Fever & common infections|Safety & first aid,early dengue|NS1 timing|body pain fever|platelet worry|fever chart|fluids at home|warning signs dengue
SM_SUSPECT_FOOD_ALLERGY_ELIM,SUSPECTED_MONITORING,Skin & allergy,Mild suspected food allergy – elimination diet and careful reintroduction,Suspected food allergy – elimination trial,"Skin & allergy|Feeding, nutrition & growth",suspected food allergy|rash after food|mild allergy|elimination diet|food diary|rechallenge|peanut allergy|milk allergy
SM_SUSPECT_REFLUX_INFANT,SUSPECTED_MONITORING,Stomach & digestion,Frequent spitting up – suspected reflux and posture / feeding trial,Suspected reflux – posture & feeding trial,Stomach & digestion|Newborn & infant care,spitting up|reflux|regurgitation|GERD baby|trial of posture change|small frequent feeds|normal vs worrying vomit
